lat,lon,flood_heig,elevation,precipitat,elevation_bin,precip_bin,flood_risk_index
14.61069376,120.9866117,0,8.88408088684,8.0,Low,Low,1.2842114971138363
14.57624612,121.0426057,0,21.0801792145,8.0,Moderate,Low,1.1514052623859024
14.72022664,121.1278858,0,16.1666870117,20.0,Moderate,High,1.7763380268184776
14.72391033,121.1347576,0,18.7776107788,21.0,Moderate,Very High,1.7955261004198901
14.57812855,121.107633,0,8.47959518433,12.0,Low,Moderate,1.479092229248223
14.58912432,120.9823738,0,9.29695320129,8.0,Low,Low,1.2797156316302696
14.61655425,121.1198236,0,13.4585037231,14.0,Low,Moderate,1.5201137973376992
14.58969798,120.9816121,0,9.31884765625,8.0,Low,Low,1.2794772176681533
14.61102338,120.9901683,0,7.46335220337,8.0,Low,Low,1.2996821519046153
14.62079904,121.0998996,0,14.3759317398,12.0,Low,Moderate,1.4148856087715176
14.62083018,121.0998675,0,14.3759317398,12.0,Low,Moderate,1.4148856087715176
14.80635817,120.9392879,0,0.0,0.0,Very Low,Very Low,1.0
14.70418164,121.0693686,0,58.3898010254,13.0,Very High,Moderate,0.9832270957651985
14.61517329,121.1154006,0,11.8631067276,13.0,Low,Moderate,1.4898674095789028
14.57645416,121.1057994,0,7.80369377136,12.0,Low,Moderate,1.4864522815610397
14.70469458,121.0711764,0,60.3774261475,13.0,Very High,Moderate,0.9615833699255925
14.70504741,121.0702537,0,58.4592170715,13.0,Very High,Moderate,0.9824712078193516
14.70604957,121.0715894,0,58.7877998352,13.0,Very High,Moderate,0.978893191434839
14.70533353,121.0712139,0,59.5953063965,13.0,Very High,Moderate,0.9701000591524321
14.70479391,121.0711281,0,60.3774261475,13.0,Very High,Moderate,0.9615833699255925
14.70425428,121.070935,0,59.297668457,13.0,Very High,Moderate,0.9733411099372989
14.70357974,121.0710745,0,61.0637054443,13.0,Very High,Moderate,0.9541103103510368
14.70201274,121.0705487,0,60.6513442993,13.0,Very High,Moderate,0.9586006095880762
14.70383918,121.0703342,0,60.0531234741,13.0,Very High,Moderate,0.9651147793820724
14.70565523,121.0702054,0,58.4592170715,13.0,Very High,Moderate,0.9824712078193516
14.70493919,121.0698943,0,57.4708175659,13.0,Very High,Moderate,0.9932341266823445
14.67020834,121.0423377,0,41.9223976135,10.0,High,Low,1.0196874513510168
14.61038749,121.0215609,0,11.0635910034,8.0,Low,Low,1.2604782896276918
14.58801854,121.1311291,0,20.521402359,15.0,Moderate,Moderate,1.4908232506833374
14.65702054,120.9970801,0,24.0500411987,9.0,Moderate,Low,1.166684771802907
14.55947394,121.0033782,0,6.90905666351,7.0,Low,Low,1.2580989611307312
14.66873641,120.967501,0,8.43243598938,9.0,Low,Low,1.3367486141559315
14.4492135,120.9234135,0,6.18860340118,6.0,Low,Low,1.2183251015789613
14.7604055,120.9484879,0,6.5944237709,11.0,Low,Moderate,1.4520012645052023
14.75889078,120.9493645,0,6.67238283157,11.0,Low,Moderate,1.4511523496283
14.45903418,120.9594298,0,6.24678039551,6.0,Low,Low,1.2176915983587362
14.64421578,121.0641574,0,60.0141181946,10.0,Very High,Low,0.822682374352203
14.59401875,121.1038837,0,10.0294799805,12.0,Low,Moderate,1.462215162623187
14.59223293,121.1041465,0,10.6935319901,12.0,Low,Moderate,1.454984141300697
